2026-09-13T04:44:35.329Z  INFO 1 --- [control-app] [nio-8080-exec-4] [6aa62a332b546f5c03e957fc2f03eea8-eb3cdc36de86cb64] c.o.p.c.r.a.ConfigBundleService          : bundle 发布: 5ac70b3a255dcdfc2d96f2ca62cc3d98e202a59aa228123a8f3ae06897b783ea revision=108 by=machine:release-line policy=r7-b2-cl06-b2cl06-20260913T044432Z
2026-09-13T04:44:35.472Z  INFO 1 --- [control-app] [nio-8080-exec-8] [6aa62a339fae22eb4c5470cc02a62a75-21c03819f35bfa0c] c.o.p.c.r.i.ConfigBundleController       : config-bundle activate: digest=5ac70b3a255dcdfc2d96f2ca62cc3d98e202a59aa228123a8f3ae06897b783ea body-keys=[expectedActiveRevision]
2026-09-13T04:44:35.474Z  INFO 1 --- [control-app] [nio-8080-exec-8] [6aa62a339fae22eb4c5470cc02a62a75-21c03819f35bfa0c] c.o.p.c.r.a.ConfigBundleService          : ACTIVATE 落位: 5ac70b3a255dcdfc2d96f2ca62cc3d98e202a59aa228123a8f3ae06897b783ea revision=108 by=machine:release-line
2026-09-13T04:44:37.285Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_primary_started","ts":"2026-09-13T04:44:37.285465722Z","task_id":"4eb974da-1702-4e8f-88c6-d34585e37799","run_id":"a5b33afc-e169-4153-b75e-fbdae715e29a","role":"primary@1"}
2026-09-13T04:44:37.292Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.r.a.SkillSelectionService        : Skill 绑定钉版（CL-05）：run=a5b33afc-e169-4153-b75e-fbdae715e29a role=primary epoch=0 status=NONE digest=- source=assembly
2026-09-13T04:44:37.388Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:44:37.388222203Z","deadline":"null","decision":"ORPHAN_MATERIALS_INCOMPLETE","purpose":"LEGACY_UNKNOWN","run_id":"2de23770-7024-4d5a-8002-7c2c011a8b64","recovery_attempts":0,"state":"REPORTING","mode":"ALERT_ONLY","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复"}
2026-09-13T04:44:37.388Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 2de23770-7024-4d5a-8002-7c2c011a8b64 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T04:44:37.388Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:44:37.388814529Z","deadline":"null","decision":"ORPHAN_MATERIALS_INCOMPLETE","purpose":"LEGACY_UNKNOWN","run_id":"37b3ef3e-c257-4c6a-9e12-1a233fb69bb5","recovery_attempts":0,"state":"REPORTING","mode":"ALERT_ONLY","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复"}
2026-09-13T04:44:37.388Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 37b3ef3e-c257-4c6a-9e12-1a233fb69bb5 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T04:44:37.389Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:44:37.389202700Z","deadline":"2026-09-13T04:54:36.315341Z","decision":"WAIT_ACTIVE_LEASE","purpose":"PRODUCTION","run_id":"a5b33afc-e169-4153-b75e-fbdae715e29a","recovery_attempts":0,"state":"RUNNING","mode":"ALERT_ONLY","proposed":"等待（记录等待原因，不抢租约不代跑）"}
2026-09-13T04:44:37.389Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run a5b33afc-e169-4153-b75e-fbdae715e29a 对账决策 WAIT_ACTIVE_LEASE（mode=ALERT_ONLY deadline=2026-09-13T04:54:36.315341Z）：等待（记录等待原因，不抢租约不代跑）
2026-09-13T04:44:38.707Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_delegation_adjudicated","ts":"2026-09-13T04:44:38.707016415Z","run_id":"a5b33afc-e169-4153-b75e-fbdae715e29a","task_id":"4eb974da-1702-4e8f-88c6-d34585e37799","approved":1,"requests":1,"batch_accepted":true}
2026-09-13T04:44:38.707Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=4eb974da-1702-4e8f-88c6-d34585e37799 reason=null
2026-09-13T04:44:38.725Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=4eb974da-1702-4e8f-88c6-d34585e37799 reason=CHILDREN_UNSETTLED
2026-09-13T04:44:38.800Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.a.DelegationReceiptService   : 回执准入 ACCEPTED run=a5b33afc-e169-4153-b75e-fbdae715e29a child=9ae0150d-8be8-4d6c-aeb2-6d47600fe878 gap=g1 bytes=160
2026-09-13T04:44:38.801Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 委派回执已提交 child=9ae0150d-8be8-4d6c-aeb2-6d47600fe878 admission=ACCEPTED duplicate=false
2026-09-13T04:44:43.373Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.agent.BoundedLlmRoleRunner   : 主 FINAL 提案落检查点 task=4eb974da-1702-4e8f-88c6-d34585e37799 claims=1 downgraded=0 stripped=0
2026-09-13T04:44:43.375Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务 FINAL 提案就绪 → DONE task=4eb974da-1702-4e8f-88c6-d34585e37799 reason=null
2026-09-13T04:44:43.383Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"am4_run_reporting","ts":"2026-09-13T04:44:43.382937750Z","run_id":"a5b33afc-e169-4153-b75e-fbdae715e29a"}
2026-09-13T04:44:43.383Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : run a5b33afc-e169-4153-b75e-fbdae715e29a 全任务终态 → REPORTING（报告链组装）
2026-09-13T04:44:43.388Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : native 全链完成 run=a5b33afc-e169-4153-b75e-fbdae715e29a reportOutcome=UNRESOLVED claims=1 validation=STRUCTURE_VALIDATED 快照=55505d8f971c6b3df0edd671b63ece31b7c38de5d27aedd75c934bf4779818c6 主模式=true
2026-09-13T04:44:43.394Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : {"event":"report_publication_loser","ts":"2026-09-13T04:44:43.394142967Z","report_id":"a012495f-1602-4d80-b43a-4ee3a6dc0de5","run_id":"a5b33afc-e169-4153-b75e-fbdae715e29a","incident_id":"6f99937a-e777-4a1e-803a-6afbbd4bf809","generation":0}
2026-09-13T04:44:43.394Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : report a012495f-1602-4d80-b43a-4ee3a6dc0de5 输给 generation 发布赢家（incident=6f99937a-e777-4a1e-803a-6afbbd4bf809, gen=0），落档不发布
2026-09-13T04:44:43.394Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : {"event":"rca_task_decision","ts":"2026-09-13T04:44:43.394671873Z","decision":"COMPLETED","run_id":"a5b33afc-e169-4153-b75e-fbdae715e29a","task_id":"a8486d41-e7ed-471c-80c9-7af5c14d95cd","attempt_id":"20ecd200-c2ea-4647-9b94-ed2369f8bd74","latency_ms":6119}
2026-09-13T04:44:43.395Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] .o.p.c.r.a.CanaryEvidenceSampleCollector : canary LIVE 样本落档：run=a5b33afc-e169-4153-b75e-fbdae715e29a incident=6f99937a-e777-4a1e-803a-6afbbd4bf809
