2026-09-13T04:45:01.480Z  INFO 1 --- [control-app] [nio-8080-exec-6] [6aa62a4d8f59fb825933810b083bb7d3-8760589d401fbb70] c.o.p.c.r.a.ConfigBundleService          : bundle 发布: 86cf78d0ee1645e5f994e92f4796dbd8565b65d2b16dc2fae5754edb96d260f0 revision=110 by=machine:release-line policy=r7-b2-cl06-b2cl06-20260913T044458Z
2026-09-13T04:45:01.639Z  INFO 1 --- [control-app] [io-8080-exec-10] [6aa62a4d7ec0cfeb70ee7350198bb35b-47949c5bce879e63] c.o.p.c.r.i.ConfigBundleController       : config-bundle activate: digest=86cf78d0ee1645e5f994e92f4796dbd8565b65d2b16dc2fae5754edb96d260f0 body-keys=[expectedActiveRevision]
2026-09-13T04:45:01.641Z  INFO 1 --- [control-app] [io-8080-exec-10] [6aa62a4d7ec0cfeb70ee7350198bb35b-47949c5bce879e63] c.o.p.c.r.a.ConfigBundleService          : ACTIVATE 落位: 86cf78d0ee1645e5f994e92f4796dbd8565b65d2b16dc2fae5754edb96d260f0 revision=110 by=machine:release-line
2026-09-13T04:45:02.870Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_primary_started","ts":"2026-09-13T04:45:02.870738698Z","task_id":"36abfde7-26a7-465a-8e0b-fad0b6ef25c1","run_id":"4e7d688c-810d-4b89-a4e4-beb007f59ebe","role":"primary@1"}
2026-09-13T04:45:02.876Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.r.a.SkillSelectionService        : Skill 绑定钉版（CL-05）：run=4e7d688c-810d-4b89-a4e4-beb007f59ebe role=primary epoch=0 status=NONE digest=- source=assembly
2026-09-13T04:45:03.983Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_delegation_adjudicated","ts":"2026-09-13T04:45:03.983262480Z","run_id":"4e7d688c-810d-4b89-a4e4-beb007f59ebe","task_id":"36abfde7-26a7-465a-8e0b-fad0b6ef25c1","approved":1,"requests":1,"batch_accepted":true}
2026-09-13T04:45:03.983Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=36abfde7-26a7-465a-8e0b-fad0b6ef25c1 reason=null
2026-09-13T04:45:03.985Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=36abfde7-26a7-465a-8e0b-fad0b6ef25c1 reason=CHILDREN_UNSETTLED
2026-09-13T04:45:04.000Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.a.DelegationReceiptService   : 回执准入 ACCEPTED run=4e7d688c-810d-4b89-a4e4-beb007f59ebe child=e5b894f9-f744-4510-8c5d-e3457bf732c6 gap=g1 bytes=160
2026-09-13T04:45:04.001Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 委派回执已提交 child=e5b894f9-f744-4510-8c5d-e3457bf732c6 admission=ACCEPTED duplicate=false
2026-09-13T04:45:07.420Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:45:07.419966395Z","deadline":"null","decision":"ORPHAN_MATERIALS_INCOMPLETE","purpose":"LEGACY_UNKNOWN","run_id":"2de23770-7024-4d5a-8002-7c2c011a8b64","recovery_attempts":0,"state":"REPORTING","mode":"ALERT_ONLY","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复"}
2026-09-13T04:45:07.420Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 2de23770-7024-4d5a-8002-7c2c011a8b64 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T04:45:07.420Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:45:07.420853957Z","deadline":"null","decision":"ORPHAN_MATERIALS_INCOMPLETE","purpose":"LEGACY_UNKNOWN","run_id":"37b3ef3e-c257-4c6a-9e12-1a233fb69bb5","recovery_attempts":0,"state":"REPORTING","mode":"ALERT_ONLY","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复"}
2026-09-13T04:45:07.420Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 37b3ef3e-c257-4c6a-9e12-1a233fb69bb5 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T04:45:07.421Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:45:07.421252217Z","deadline":"2026-09-13T04:55:02.350291Z","decision":"WAIT_ACTIVE_LEASE","purpose":"PRODUCTION","run_id":"4e7d688c-810d-4b89-a4e4-beb007f59ebe","recovery_attempts":0,"state":"RUNNING","mode":"ALERT_ONLY","proposed":"等待（记录等待原因，不抢租约不代跑）"}
2026-09-13T04:45:07.421Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 4e7d688c-810d-4b89-a4e4-beb007f59ebe 对账决策 WAIT_ACTIVE_LEASE（mode=ALERT_ONLY deadline=2026-09-13T04:55:02.350291Z）：等待（记录等待原因，不抢租约不代跑）
2026-09-13T04:45:10.495Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.agent.BoundedLlmRoleRunner   : 主 FINAL 提案落检查点 task=36abfde7-26a7-465a-8e0b-fad0b6ef25c1 claims=1 downgraded=0 stripped=0
2026-09-13T04:45:10.495Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务 FINAL 提案就绪 → DONE task=36abfde7-26a7-465a-8e0b-fad0b6ef25c1 reason=null
2026-09-13T04:45:10.500Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"am4_run_reporting","ts":"2026-09-13T04:45:10.500494499Z","run_id":"4e7d688c-810d-4b89-a4e4-beb007f59ebe"}
2026-09-13T04:45:10.500Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : run 4e7d688c-810d-4b89-a4e4-beb007f59ebe 全任务终态 → REPORTING（报告链组装）
2026-09-13T04:45:10.505Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : native 全链完成 run=4e7d688c-810d-4b89-a4e4-beb007f59ebe reportOutcome=UNRESOLVED claims=1 validation=STRUCTURE_VALIDATED 快照=c14a4ef1cab2e9917ca9228880efe4355e972d6d3ca7a7e783ea5c777f142478 主模式=true
2026-09-13T04:45:10.511Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : {"event":"report_publication_loser","ts":"2026-09-13T04:45:10.511294581Z","report_id":"f8c2214c-3ae2-404c-b9d2-7ad4c752ba47","run_id":"4e7d688c-810d-4b89-a4e4-beb007f59ebe","incident_id":"6f99937a-e777-4a1e-803a-6afbbd4bf809","generation":0}
2026-09-13T04:45:10.511Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : report f8c2214c-3ae2-404c-b9d2-7ad4c752ba47 输给 generation 发布赢家（incident=6f99937a-e777-4a1e-803a-6afbbd4bf809, gen=0），落档不发布
2026-09-13T04:45:10.512Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : {"event":"rca_task_decision","ts":"2026-09-13T04:45:10.512937756Z","decision":"COMPLETED","run_id":"4e7d688c-810d-4b89-a4e4-beb007f59ebe","task_id":"5541cc58-11df-4dee-97c3-92a72138e11f","attempt_id":"b30b7efa-2ac8-4168-85c4-5f2e6f9b8048","latency_ms":7645}
2026-09-13T04:45:10.513Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] .o.p.c.r.a.CanaryEvidenceSampleCollector : canary LIVE 样本落档：run=4e7d688c-810d-4b89-a4e4-beb007f59ebe incident=6f99937a-e777-4a1e-803a-6afbbd4bf809
