2026-09-13T04:54:43.791Z  INFO 1 --- [control-app] [io-8080-exec-10] [6aa62c93b28bbdc92ac312a9d9e95cdd-4caa7ad1dcd8ac26] c.o.p.c.r.a.ConfigBundleService          : bundle 发布: 2406a882c8e299c5046be80c92ee9b1b3cffbfa312c00c3f373f0e67c3413342 revision=114 by=machine:release-line policy=r7-b2-cl06-b2cl06-20260913T045441Z
2026-09-13T04:54:43.942Z  INFO 1 --- [control-app] [nio-8080-exec-4] [6aa62c93a00a331296892b27723ccae6-2f05f8849655054d] c.o.p.c.r.i.ConfigBundleController       : config-bundle activate: digest=2406a882c8e299c5046be80c92ee9b1b3cffbfa312c00c3f373f0e67c3413342 body-keys=[expectedActiveRevision]
2026-09-13T04:54:43.945Z  INFO 1 --- [control-app] [nio-8080-exec-4] [6aa62c93a00a331296892b27723ccae6-2f05f8849655054d] c.o.p.c.r.a.ConfigBundleService          : ACTIVATE 落位: 2406a882c8e299c5046be80c92ee9b1b3cffbfa312c00c3f373f0e67c3413342 revision=114 by=machine:release-line
2026-09-13T04:54:45.366Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_primary_started","ts":"2026-09-13T04:54:45.366267584Z","run_id":"d3a49a69-9012-4ca9-9229-fa1b8da792f5","task_id":"eb79c0b2-eb4a-4046-9307-792bfab26b21","role":"primary@1"}
2026-09-13T04:54:45.374Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.r.a.SkillSelectionService        : Skill 绑定钉版（CL-05）：run=d3a49a69-9012-4ca9-9229-fa1b8da792f5 role=primary epoch=0 status=NONE digest=- source=assembly
2026-09-13T04:54:46.476Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_delegation_adjudicated","ts":"2026-09-13T04:54:46.476624289Z","batch_accepted":true,"requests":1,"approved":1,"task_id":"eb79c0b2-eb4a-4046-9307-792bfab26b21","run_id":"d3a49a69-9012-4ca9-9229-fa1b8da792f5"}
2026-09-13T04:54:46.476Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=eb79c0b2-eb4a-4046-9307-792bfab26b21 reason=null
2026-09-13T04:54:46.480Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=eb79c0b2-eb4a-4046-9307-792bfab26b21 reason=CHILDREN_UNSETTLED
2026-09-13T04:54:46.499Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.a.DelegationReceiptService   : 回执准入 ACCEPTED run=d3a49a69-9012-4ca9-9229-fa1b8da792f5 child=ec827ad9-63fb-42ee-b242-b52ee152b923 gap=g1 bytes=160
2026-09-13T04:54:46.500Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 委派回执已提交 child=ec827ad9-63fb-42ee-b242-b52ee152b923 admission=ACCEPTED duplicate=false
2026-09-13T04:54:51.338Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.a.SingleToolEvidenceAgent    : MC24 查询复用 run=d3a49a69-9012-4ca9-9229-fa1b8da792f5 task=eb79c0b2-eb4a-4046-9307-792bfab26b21 tool=prometheus.query evidence=2da66504-eb9b-4ad1-b1fa-7cd3d047ff6e（零新工具执行）
2026-09-13T04:54:53.812Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.agent.BoundedLlmRoleRunner   : 主 FINAL 提案落检查点 task=eb79c0b2-eb4a-4046-9307-792bfab26b21 claims=1 downgraded=0 stripped=0
2026-09-13T04:54:53.813Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务 FINAL 提案就绪 → DONE task=eb79c0b2-eb4a-4046-9307-792bfab26b21 reason=null
2026-09-13T04:54:53.822Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"am4_run_reporting","ts":"2026-09-13T04:54:53.822022542Z","run_id":"d3a49a69-9012-4ca9-9229-fa1b8da792f5"}
2026-09-13T04:54:53.822Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : run d3a49a69-9012-4ca9-9229-fa1b8da792f5 全任务终态 → REPORTING（报告链组装）
2026-09-13T04:54:53.831Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : native 全链完成 run=d3a49a69-9012-4ca9-9229-fa1b8da792f5 reportOutcome=UNRESOLVED claims=1 validation=STRUCTURE_VALIDATED 快照=b3ca67407570d73579727410f81ac454b21f5d145bbffdfd0c71491e366b2cca 主模式=true
2026-09-13T04:54:53.838Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : {"event":"report_publication_loser","ts":"2026-09-13T04:54:53.838484204Z","generation":0,"incident_id":"6f99937a-e777-4a1e-803a-6afbbd4bf809","run_id":"d3a49a69-9012-4ca9-9229-fa1b8da792f5","report_id":"78df529d-00c0-4222-a95a-3ba59341cffb"}
2026-09-13T04:54:53.838Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : report 78df529d-00c0-4222-a95a-3ba59341cffb 输给 generation 发布赢家（incident=6f99937a-e777-4a1e-803a-6afbbd4bf809, gen=0），落档不发布
2026-09-13T04:54:53.839Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.RcaRunOrchestrator           : {"event":"rca_task_decision","ts":"2026-09-13T04:54:53.839751722Z","latency_ms":8479,"attempt_id":"aada312c-3b5b-4ebd-95d4-b31db5127ee9","task_id":"4a227570-9cf1-4897-b3e3-120fdbe8ac12","run_id":"d3a49a69-9012-4ca9-9229-fa1b8da792f5","decision":"COMPLETED"}
2026-09-13T04:54:53.842Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] .o.p.c.r.a.CanaryEvidenceSampleCollector : canary LIVE 样本落档：run=d3a49a69-9012-4ca9-9229-fa1b8da792f5 incident=6f99937a-e777-4a1e-803a-6afbbd4bf809
2026-09-13T04:54:54.884Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:54:54.884749156Z","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复","mode":"ALERT_ONLY","state":"REPORTING","recovery_attempts":0,"run_id":"2de23770-7024-4d5a-8002-7c2c011a8b64","purpose":"LEGACY_UNKNOWN","decision":"ORPHAN_MATERIALS_INCOMPLETE","deadline":"null"}
2026-09-13T04:54:54.885Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 2de23770-7024-4d5a-8002-7c2c011a8b64 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T04:54:54.885Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:54:54.885750572Z","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复","mode":"ALERT_ONLY","state":"REPORTING","recovery_attempts":0,"run_id":"37b3ef3e-c257-4c6a-9e12-1a233fb69bb5","purpose":"LEGACY_UNKNOWN","decision":"ORPHAN_MATERIALS_INCOMPLETE","deadline":"null"}
2026-09-13T04:54:54.885Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 37b3ef3e-c257-4c6a-9e12-1a233fb69bb5 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
