2026-09-13T04:59:49.626Z  INFO 1 --- [control-app] [nio-8080-exec-7] [6aa62dc529e3d954cc4a1cd1c7d3ef84-090b86fc9131129e] c.o.p.c.r.a.ConfigBundleService          : bundle 发布: 93fe4499bd602794b3767c7868fe9b8f1fe7fdd7bb61bf1b63cd1ec409c82f12 revision=119 by=machine:release-line policy=r7-b2-cl06-b2cl06-20260913T045946Z
2026-09-13T04:59:49.750Z  INFO 1 --- [control-app] [nio-8080-exec-1] [6aa62dc5f1fe6c77f2dbd19ec571e807-1c75e394d6dd70e5] c.o.p.c.r.i.ConfigBundleController       : config-bundle activate: digest=93fe4499bd602794b3767c7868fe9b8f1fe7fdd7bb61bf1b63cd1ec409c82f12 body-keys=[expectedActiveRevision]
2026-09-13T04:59:49.753Z  INFO 1 --- [control-app] [nio-8080-exec-1] [6aa62dc5f1fe6c77f2dbd19ec571e807-1c75e394d6dd70e5] c.o.p.c.r.a.ConfigBundleService          : ACTIVATE 落位: 93fe4499bd602794b3767c7868fe9b8f1fe7fdd7bb61bf1b63cd1ec409c82f12 revision=119 by=machine:release-line
2026-09-13T04:59:51.992Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_primary_started","ts":"2026-09-13T04:59:51.992527850Z","run_id":"0c6bd215-1fb8-498b-b3ad-cdc45307e466","task_id":"86b4b64c-2677-48a3-b883-bf4dcf6b99f2","role":"primary@1"}
2026-09-13T04:59:51.998Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.r.a.SkillSelectionService        : Skill 绑定钉版（CL-05）：run=0c6bd215-1fb8-498b-b3ad-cdc45307e466 role=primary epoch=0 status=NONE digest=- source=assembly
2026-09-13T04:59:53.049Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_delegation_adjudicated","ts":"2026-09-13T04:59:53.049722373Z","batch_accepted":true,"requests":1,"approved":1,"task_id":"86b4b64c-2677-48a3-b883-bf4dcf6b99f2","run_id":"0c6bd215-1fb8-498b-b3ad-cdc45307e466"}
2026-09-13T04:59:53.049Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=86b4b64c-2677-48a3-b883-bf4dcf6b99f2 reason=null
2026-09-13T04:59:53.067Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.a.DelegationReceiptService   : 回执准入 ACCEPTED run=0c6bd215-1fb8-498b-b3ad-cdc45307e466 child=355d7793-4415-494c-bf1f-bba8f826c40e gap=g1 bytes=160
2026-09-13T04:59:53.067Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 委派回执已提交 child=355d7793-4415-494c-bf1f-bba8f826c40e admission=ACCEPTED duplicate=false
2026-09-13T04:59:54.983Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:59:54.983630646Z","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复","mode":"ALERT_ONLY","state":"REPORTING","recovery_attempts":0,"run_id":"2de23770-7024-4d5a-8002-7c2c011a8b64","purpose":"LEGACY_UNKNOWN","decision":"ORPHAN_MATERIALS_INCOMPLETE","deadline":"null"}
2026-09-13T04:59:54.983Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 2de23770-7024-4d5a-8002-7c2c011a8b64 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T04:59:54.984Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:59:54.984189869Z","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复","mode":"ALERT_ONLY","state":"REPORTING","recovery_attempts":0,"run_id":"37b3ef3e-c257-4c6a-9e12-1a233fb69bb5","purpose":"LEGACY_UNKNOWN","decision":"ORPHAN_MATERIALS_INCOMPLETE","deadline":"null"}
2026-09-13T04:59:54.984Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 37b3ef3e-c257-4c6a-9e12-1a233fb69bb5 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T04:59:54.984Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T04:59:54.984556119Z","proposed":"等待（记录等待原因，不抢租约不代跑）","mode":"ALERT_ONLY","state":"RUNNING","recovery_attempts":0,"run_id":"0c6bd215-1fb8-498b-b3ad-cdc45307e466","purpose":"PRODUCTION","decision":"WAIT_ACTIVE_LEASE","deadline":"2026-09-13T05:09:51.185494Z"}
2026-09-13T04:59:54.984Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 0c6bd215-1fb8-498b-b3ad-cdc45307e466 对账决策 WAIT_ACTIVE_LEASE（mode=ALERT_ONLY deadline=2026-09-13T05:09:51.185494Z）：等待（记录等待原因，不抢租约不代跑）
