2026-09-13T05:02:21.120Z  INFO 1 --- [control-app] [nio-8080-exec-6] [6aa62e5d426cc4eabfde3dd85127d870-33d8c1559c3be372] c.o.p.c.r.i.ConfigBundleController       : config-bundle activate: digest=14c1ef5e48cdfcbe28dec40ef92def82894c6418a9ea00cca71b72b6b208066e body-keys=[expectedActiveRevision]
2026-09-13T05:02:21.125Z  INFO 1 --- [control-app] [nio-8080-exec-6] [6aa62e5d426cc4eabfde3dd85127d870-33d8c1559c3be372] c.o.p.c.r.a.ConfigBundleService          : ACTIVATE 落位: 14c1ef5e48cdfcbe28dec40ef92def82894c6418a9ea00cca71b72b6b208066e revision=121 by=machine:release-line
2026-09-13T05:02:21.862Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_primary_started","ts":"2026-09-13T05:02:21.862486635Z","run_id":"1a5175cb-2dc8-4f90-8288-40966b20311f","task_id":"071a5260-2c63-426d-a8b5-0f99b90dfcb4","role":"primary@1"}
2026-09-13T05:02:21.875Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.r.a.SkillSelectionService        : Skill 绑定钉版（CL-05）：run=1a5175cb-2dc8-4f90-8288-40966b20311f role=primary epoch=0 status=NONE digest=- source=assembly
2026-09-13T05:02:22.961Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"r7_delegation_adjudicated","ts":"2026-09-13T05:02:22.961057743Z","batch_accepted":true,"requests":1,"approved":1,"task_id":"071a5260-2c63-426d-a8b5-0f99b90dfcb4","run_id":"1a5175cb-2dc8-4f90-8288-40966b20311f"}
2026-09-13T05:02:22.961Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=071a5260-2c63-426d-a8b5-0f99b90dfcb4 reason=null
2026-09-13T05:02:22.963Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务转委派等待（sweep 转驱子任务，结清后唤醒）task=071a5260-2c63-426d-a8b5-0f99b90dfcb4 reason=CHILDREN_UNSETTLED
2026-09-13T05:02:22.991Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.a.DelegationReceiptService   : 回执准入 ACCEPTED run=1a5175cb-2dc8-4f90-8288-40966b20311f child=33f507f1-a648-4d3c-ab49-03de8f123760 gap=g1 bytes=160
2026-09-13T05:02:22.992Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 委派回执已提交 child=33f507f1-a648-4d3c-ab49-03de8f123760 admission=ACCEPTED duplicate=false
2026-09-13T05:02:25.007Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T05:02:25.007149221Z","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复","mode":"ALERT_ONLY","state":"REPORTING","recovery_attempts":0,"run_id":"2de23770-7024-4d5a-8002-7c2c011a8b64","purpose":"LEGACY_UNKNOWN","decision":"ORPHAN_MATERIALS_INCOMPLETE","deadline":"null"}
2026-09-13T05:02:25.007Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 2de23770-7024-4d5a-8002-7c2c011a8b64 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T05:02:25.007Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T05:02:25.007736326Z","proposed":"结构不一致：告警人工接管，不猜结果不自动恢复","mode":"ALERT_ONLY","state":"REPORTING","recovery_attempts":0,"run_id":"37b3ef3e-c257-4c6a-9e12-1a233fb69bb5","purpose":"LEGACY_UNKNOWN","decision":"ORPHAN_MATERIALS_INCOMPLETE","deadline":"null"}
2026-09-13T05:02:25.007Z  WARN 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 37b3ef3e-c257-4c6a-9e12-1a233fb69bb5 对账决策 ORPHAN_MATERIALS_INCOMPLETE（mode=ALERT_ONLY deadline=null）：结构不一致：告警人工接管，不猜结果不自动恢复
2026-09-13T05:02:25.008Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : {"event":"run_reconcile_decision","ts":"2026-09-13T05:02:25.008133063Z","proposed":"等待（记录等待原因，不抢租约不代跑）","mode":"ALERT_ONLY","state":"RUNNING","recovery_attempts":0,"run_id":"1a5175cb-2dc8-4f90-8288-40966b20311f","purpose":"PRODUCTION","decision":"WAIT_ACTIVE_LEASE","deadline":"2026-09-13T05:12:21.293428Z"}
2026-09-13T05:02:25.008Z  INFO 1 --- [control-app] [ run-reconciler] [                                                 ] c.o.p.c.alert.application.RunReconciler  : run 1a5175cb-2dc8-4f90-8288-40966b20311f 对账决策 WAIT_ACTIVE_LEASE（mode=ALERT_ONLY deadline=2026-09-13T05:12:21.293428Z）：等待（记录等待原因，不抢租约不代跑）
2026-09-13T05:02:27.464Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.a.SingleToolEvidenceAgent    : MC24 查询复用 run=1a5175cb-2dc8-4f90-8288-40966b20311f task=071a5260-2c63-426d-a8b5-0f99b90dfcb4 tool=prometheus.query evidence=c83003ce-f5bf-4ea3-81a2-fd3f0ece4f02（零新工具执行）
2026-09-13T05:02:29.901Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.agent.BoundedLlmRoleRunner   : 主 FINAL 提案落检查点 task=071a5260-2c63-426d-a8b5-0f99b90dfcb4 claims=1 downgraded=0 stripped=0
2026-09-13T05:02:29.902Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : 主任务 FINAL 提案就绪 → DONE task=071a5260-2c63-426d-a8b5-0f99b90dfcb4 reason=null
2026-09-13T05:02:29.911Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : {"event":"am4_run_reporting","ts":"2026-09-13T05:02:29.911906467Z","run_id":"1a5175cb-2dc8-4f90-8288-40966b20311f"}
2026-09-13T05:02:29.912Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.a.a.DeterministicSupervisor      : run 1a5175cb-2dc8-4f90-8288-40966b20311f 全任务终态 → REPORTING（报告链组装）
2026-09-13T05:02:29.921Z  INFO 1 --- [control-app] [orker-control-1] [                                                 ] c.o.p.c.i.n.NativeInvestigationExecutor  : native 全链完成 run=1a5175cb-2dc8-4f90-8288-40966b20311f reportOutcome=UNRESOLVED claims=1 validation=STRUCTURE_VALIDATED 快照=eaee2a78d852a3f223d6ade294dddd82aa5034015ee29c8b9f5b68fb882d33ed 主模式=true
